year,month,fuel_type,count
2024,3,Diesel PHEV,69
2024,3,Hybrid (Diesel),1049
2024,3,Hybrid (Petrol),6375
2024,3,PHEV,1882
2024,3,Petrol,7474
2024,4,BEV,3125
2024,4,Diesel,2035
2024,4,Diesel PHEV,60
2024,4,Hybrid (Diesel),1020
2024,4,Hybrid (Petrol),5387
2024,4,Hydrogen,1
2024,4,PHEV,1539
2024,4,Petrol,6698
2024,5,BEV,3583
2024,5,CNG,1
2024,5,Diesel,2433
2024,5,Diesel PHEV,56
2024,5,Hybrid (Diesel),1127
2024,5,Hybrid (Petrol),5508
2024,5,LPG,1
2024,5,PHEV,1663
2024,5,Petrol,6868
2024,6,BEV,4222
2024,6,Diesel,2269
2024,6,Diesel PHEV,68
2024,6,Hybrid (Diesel),1167
2024,6,Hybrid (Petrol),6873
2024,6,LPG,1
2024,6,PHEV,1722
2024,6,Petrol,6529
2024,7,BEV,3398
2024,7,Diesel,1848
2024,7,Diesel PHEV,28
2024,7,Hybrid (Diesel),992
2024,7,Hybrid (Petrol),5304
2024,7,Hydrogen,1
2024,7,PHEV,1433
2024,7,Petrol,5187
2024,8,BEV,3442
2024,8,Diesel,1430
2024,8,Diesel PHEV,25
2024,8,Hybrid (Diesel),935
2024,8,Hybrid (Petrol),4751
2024,8,PHEV,1161
2024,8,Petrol,4291
2024,9,BEV,4573
2024,9,Diesel,1677
2024,9,Diesel PHEV,39
2024,9,Hybrid (Diesel),1256
2024,9,Hybrid (Petrol),5774
2024,9,Hydrogen,1
2024,9,LPG,3
2024,9,PHEV,1611
2024,9,Petrol,5239
2024,10,BEV,3525
2024,10,Diesel,1598
2024,10,Diesel PHEV,30
2024,10,Hybrid (Diesel),1079
2024,10,Hybrid (Petrol),5839
2024,10,PHEV,1655
2024,10,Petrol,4927
2024,11,BEV,4202
2024,11,Diesel,1511
2024,11,Diesel PHEV,31
2024,11,Hybrid (Diesel),1102
2024,11,Hybrid (Petrol),6261
2024,11,Hydrogen,1
2024,11,PHEV,1578
2024,11,Petrol,5109
2024,12,BEV,5530
2024,12,Diesel,2207
2024,12,Diesel PHEV,24
2024,12,Hybrid (Diesel),1277
2024,12,Hybrid (Petrol),7513
2024,12,Hydrogen,1
2024,12,LPG,2
2024,12,PHEV,2154
2024,12,Petrol,6279
2025,1,BEV,2951
2025,1,Diesel,1236
2025,1,Diesel PHEV,16
2025,1,Hybrid (Diesel),926
2025,1,Hybrid (Petrol),4658
2025,1,Hydrogen,1
2025,1,LPG,1
2025,1,PHEV,1309
2025,1,Petrol,3885
2025,2,BEV,3428
2025,2,Diesel,1278
2025,2,Diesel PHEV,26
2025,2,Hybrid (Diesel),699
2025,2,Hybrid (Petrol),5357
2025,2,Hydrogen,1
2025,2,LPG,2
2025,2,PHEV,1408
2025,2,Petrol,4087
2025,3,BEV,4472
2025,3,Diesel,1616
2025,3,Diesel PHEV,44
2025,3,Hybrid (Diesel),991
2025,3,Hybrid (Petrol),7384
2025,3,PHEV,1986
2025,3,Petrol,5335
2025,4,BEV,3450
2025,4,Diesel,1332
2025,4,Diesel PHEV,42
2025,4,Hybrid (Diesel),991
2025,4,Hybrid (Petrol),5905
2025,4,Hydrogen,1
2025,4,PHEV,1855
2025,4,Petrol,5034
2025,5,BEV,4202
2025,5,Diesel,1389
2025,5,Diesel PHEV,51
2025,5,Hybrid (Diesel),951
2025,5,Hybrid (Petrol),6329
2025,5,LPG,1
